Month,Passengers,MA_12,Pct_Change(%),Month_Num,Year
1955-10-01,274.0,277.0833333333333,-12.17948717948718,10,1955
1955-11-01,237.0,279.9166666666667,-13.503649635036496,11,1955
1955-12-01,278.0,284.0,17.29957805907174,12,1955
1956-01-01,284.0,287.5,2.158273381294973,1,1956
1956-02-01,277.0,291.1666666666667,-2.464788732394363,2,1956
1956-03-01,317.0,295.3333333333333,14.440433212996396,3,1956
1956-04-01,313.0,299.0,-1.2618296529968487,4,1956
1956-05-01,318.0,303.0,1.5974440894568787,5,1956
1956-06-01,374.0,307.9166666666667,17.610062893081757,6,1956
1956-07-01,413.0,312.0,10.427807486631014,7,1956
1956-08-01,405.0,316.8333333333333,-1.937046004842613,8,1956
1956-09-01,355.0,320.4166666666667,-12.345679012345679,9,1956
1956-10-01,306.0,323.0833333333333,-13.802816901408455,10,1956
1956-11-01,271.0,325.9166666666667,-11.43790849673203,11,1956
1956-12-01,306.0,328.25,12.915129151291517,12,1956
1957-01-01,315.0,330.8333333333333,2.941176470588225,1,1957
1957-02-01,301.0,332.8333333333333,-4.444444444444439,2,1957
1957-03-01,356.0,336.0833333333333,18.272425249169434,3,1957
1957-04-01,348.0,339.0,-2.2471910112359605,4,1957
1957-05-01,355.0,342.0833333333333,2.011494252873569,5,1957
1957-06-01,422.0,346.0833333333333,18.873239436619716,6,1957
1957-07-01,465.0,350.4166666666667,10.18957345971565,7,1957
1957-08-01,467.0,355.5833333333333,0.43010752688172893,8,1957
1957-09-01,404.0,359.6666666666667,-13.490364025695934,9,1957
1957-10-01,347.0,363.0833333333333,-14.10891089108911,10,1957
1957-11-01,305.0,365.9166666666667,-12.103746397694525,11,1957
1957-12-01,336.0,368.4166666666667,10.163934426229515,12,1957
1958-01-01,340.0,370.5,1.1904761904761862,1,1958
1958-02-01,318.0,371.9166666666667,-6.470588235294117,2,1958
1958-03-01,362.0,372.4166666666667,13.83647798742138,3,1958
1958-04-01,348.0,372.4166666666667,-3.8674033149171283,4,1958
1958-05-01,363.0,373.0833333333333,4.31034482758621,5,1958
1958-06-01,435.0,374.1666666666667,19.834710743801654,6,1958
1958-07-01,491.0,376.3333333333333,12.873563218390816,7,1958
1958-08-01,505.0,379.5,2.851323828920571,8,1958
1958-09-01,404.0,379.5,-19.999999999999996,9,1958
1958-10-01,359.0,380.5,-11.138613861386137,10,1958
1958-11-01,310.0,380.9166666666667,-13.649025069637888,11,1958
1958-12-01,337.0,381.0,8.709677419354843,12,1958
1959-01-01,360.0,382.6666666666667,6.824925816023741,1,1959
1959-02-01,342.0,384.6666666666667,-5.000000000000004,2,1959
1959-03-01,406.0,388.3333333333333,18.71345029239766,3,1959
1959-04-01,396.0,392.3333333333333,-2.463054187192115,4,1959
1959-05-01,420.0,397.0833333333333,6.060606060606055,5,1959
1959-06-01,472.0,400.1666666666667,12.380952380952381,6,1959
1959-07-01,548.0,404.9166666666667,16.10169491525424,7,1959
1959-08-01,559.0,409.4166666666667,2.007299270072993,8,1959
1959-09-01,463.0,414.3333333333333,-17.17352415026834,9,1959
1959-10-01,407.0,418.3333333333333,-12.095032397408211,10,1959
1959-11-01,362.0,422.6666666666667,-11.056511056511054,11,1959
1959-12-01,405.0,428.3333333333333,11.878453038674031,12,1959
1960-01-01,417.0,433.0833333333333,2.9629629629629672,1,1960
1960-02-01,391.0,437.1666666666667,-6.235011990407669,2,1960
1960-03-01,419.0,438.25,7.161125319693085,3,1960
1960-04-01,461.0,443.6666666666667,10.023866348448696,4,1960
1960-05-01,472.0,448.0,2.386117136659438,5,1960
1960-06-01,535.0,453.25,13.347457627118642,6,1960
1960-07-01,622.0,459.4166666666667,16.26168224299065,7,1960
1960-08-01,606.0,463.3333333333333,-2.5723472668810254,8,1960
1960-09-01,508.0,467.0833333333333,-16.171617161716167,9,1960
1960-10-01,461.0,471.5833333333333,-9.251968503937002,10,1960
1960-11-01,390.0,473.9166666666667,-15.401301518438181,11,1960
1960-12-01,432.0,476.1666666666667,10.769230769230775,12,1960
